i_ano_compt;i_mes_compt;i_desc_car_int_atend;i_desc_complex_proc;i_desc_estab_cnes;i_desc_proc_realizado;i_qtd;id
2022;8;BPA-C;Atenção Básica;9622918 - CEO - Taguatinga;0414020120 - EXODONTIA DE DENTE DECÍDUO;8;20584
2022;10;Eletivo;Média complexidade;6876617 - HCB;0412050170 - TORACOCENTESE/DRENAGEM DE PLEURA;1;21126
2022;5;BPA-C;Média complexidade;6876617 - HCB;0407010319 - TRATAMENTO ESCLEROSANTE / LIGADURA ELASTICA DE LESAO HEMORRAGICA DO APARELHO DIGESTIVO;1;19648
2022;9;Eletivo;Alta complexidade;3224228 - Renal Care;0418020035 - RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANÊNCIA;1;20804
2022;8;Eletivo;Média complexidade;2645157 - HRL;0409070165 - EXTIRPACAO DE LESAO DE VULVA / PERINEO (POR ELETROCOAGULACAO OU FULGURACAO);1;20488
2022;3;BPA-C;Atenção Básica;0010464 - HRAN;0413010023 - ATENDIMENTO DE URGÊNCIA EM PEQUENO QUEIMADO;23;18889
2022;3;BPA-C;Média complexidade;9414754 - Policlínica Sobradinho;0405050364 - TRATAMENTO CIRURGICO DE PTERIGIO;6;19057
2022;4;Eletivo;Alta complexidade;7491484 - CNRV;0418010080 - IMPLANTE DE CATETER TIPO TENCKHOFF OU SIMILAR P/ DPA/DPAC;1;19345
2022;3;Eletivo;Média complexidade;3055450 - CBV;0405030096 - SUTURA DE ESCLERA;17;19020
2022;1;Eletivo;Média complexidade;0010510 - HUB;0409040240 - VASECTOMIA;3;18430
2022;3;BPA-C;Atenção Básica;9715797 - CEO-Guará;0414020138 - EXODONTIA DE DENTE PERMANENTE;32;19125
2022;8;Eletivo;Média complexidade;0010510 - HUB;0407040196 - PARACENTESE ABDOMINAL;24;20442
2022;4;Eletivo;Alta complexidade;9967486 - IBRANE;0418010048 - IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE;4;19438
2022;5;Eletivo;Média complexidade;0945595 - UPA Riacho Fundo;0404020097 - EXCISÃO E SUTURA DE LESÃO NA BOCA;1;19600
2022;12;BPA-C;Média complexidade;0010456 - HBDF;0404010270 - REMOCAO DE CERUMEN DE CONDUTO AUDITIVO EXTERNO UNI / BILATERAL;30;21522
2022;5;Urgência;Média complexidade;0010529 - HRPl;0408020172 - REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO;2;19571
2022;8;Eletivo;Média complexidade;0010510 - HUB;0405020015 - CORRECAO CIRURGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS);1;20437
2022;1;BPA-C;Média complexidade;0010502 - HRS;0414010361 - EXERESE DE CISTO ODONTOGÊNICO E NÃO-ODONTOGÊNICO;1;18413
2022;9;Eletivo;Média complexidade;0010510 - HUB;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);70;20748
2022;1;BPA-C;Atenção Básica;2645157 - HRL;0413010023 - ATENDIMENTO DE URGÊNCIA EM PEQUENO QUEIMADO;2;18469
2022;11;BPA-C;Média complexidade;9764860 - CEO - Gama;0414020219 - ODONTOSECÇÃO / RADILECTOMIA / TUNELIZAÇÃO;7;21498
2022;9;Eletivo;Média complexidade;0010464 - HRAN;0405030053 - INJECAO INTRA-VITREO;16;20690
2022;10;Eletivo;Alta complexidade;9967486 - IBRANE;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;7;21217
2022;10;Eletivo;Média complexidade;0010537 - HMIB;0409040240 - VASECTOMIA;2;21048
2022;6;BPA-C;Atenção Básica;9578560 - CEO 11 - Ceilândia;0414020120 - EXODONTIA DE DENTE DECÍDUO;6;19974
2022;5;BPA-C;Atenção Básica;9772243 - CEO - Paranoá;0414020138 - EXODONTIA DE DENTE PERMANENTE;8;19745
2022;11;BPA-C;Média complexidade;0727377 - CADH - Região Leste;0415040043 - DEBRIDAMENTO DE ULCERA / NECROSE;4;21354
2022;7;BPA-C;Média complexidade;0010456 - HBDF;0405050305 - SUTURA DE CORNEA;2;20057
2022;10;Eletivo;Média complexidade;0010464 - HRAN;0407040196 - PARACENTESE ABDOMINAL;1;20979
2022;4;Eletivo;Alta complexidade;2779420 - Soclimed;0418010013 - CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTIA DE POLITETRAFLUORETILENO (PTFE);1;19304
2022;8;BPA-C;Média complexidade;6876617 - HCB;0407010319 - TRATAMENTO ESCLEROSANTE / LIGADURA ELASTICA DE LESAO HEMORRAGICA DO APARELHO DIGESTIVO;2;20531
2022;3;BPA-C;Média complexidade;0010766 - CEO 712 912 Sul;0414020022 - APICECTOMIA COM OU SEM OBTURAÇÃO RETRÓGRADA;1;18999
2022;9;BPA-C;Média complexidade;9715797 - CEO - Guará;0414020375 - TRATAMENTO CIRÚRGICO PERIODONTAL (POR SEXTANTE);2;20902
2022;6;BPA-C;Média complexidade;9621709 - Policlínica II Taguatinga;0415040043 - DEBRIDAMENTO DE ULCERA / NECROSE;1;19989
2022;9;BPA-C;Média complexidade;9414754 - Policlínica Sobradinho;0405050364 - TRATAMENTO CIRURGICO DE PTERIGIO;10;20840
2022;5;Eletivo;Média complexidade;0010464 - HRAN;0405010184 - TRATAMENTO CIRURGICO DE BLEFAROCALASE;6;19488
2022;3;Eletivo;Média complexidade;0010510 - HUB;0405010184 - TRATAMENTO CIRURGICO DE BLEFAROCALASE;5;18959
2022;10;Eletivo;Média complexidade;0010472 - HRG;0407010254 - RETIRADA DE POLIPO DO TUBO DIGESTIVO POR ENDOSCOPIA;1;20989
2022;3;BPA-C;Média complexidade;9621709 - Policlínica II Taguatinga;0404010270 - REMOCAO DE CERUMEN DE CONDUTO AUDITIVO EXTERNO UNI / BILATERAL;160;19077
2022;4;BPA-C;Média complexidade;9764860 - CEO - Gama;0414020057 - CORREÇÃO DE IRREGULARIDADES DE REBORDO ALVEOLAR;1;19420
2022;1;BPA-C;Média complexidade;0010499 - HRT;0414020146 - EXODONTIA MÚLTIPLA COM ALVEOLOPLASTIA POR SEXTANTE;5;18402
2022;11;Urgência;Média complexidade;5717515 - HRSM;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);2;21417
2022;7;BPA-C;Média complexidade;0010480 - HRC;0404010075 - DRENAGEM DE FURUNCULO NO CONDUTO AUDITIVO EXTERNO;1;20104
2022;6;BPA-C;Média complexidade;9622845 - CEO - Policlínica Taguatinga;0414020375 - TRATAMENTO CIRÚRGICO PERIODONTAL (POR SEXTANTE);5;19995
2022;2;Eletivo;Média complexidade;0010510 - HUB;0404020054 - DRENAGEM DE ABSCESSO DA BOCA E ANEXOS;1;18677
2022;4;Eletivo;Alta complexidade;0010499 - HRT;0418020035 - RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANÊNCIA;14;19227
2022;5;BPA-C;Atenção Básica;0010766 - CEO - 712 912 Sul;0414020120 - EXODONTIA DE DENTE DECÍDUO;6;19588
2022;2;BPA-C;Média complexidade;0010766 - CEO 712 912 Sul;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);21;18720
2022;4;Eletivo;Alta complexidade;0010499 - HRT;0418010048 - IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE;24;19224
2022;2;Eletivo;Alta complexidade;0010510 - HUB;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;3;18669
2022;1;Urgência;Média complexidade;0010529 - HRPl;0409070122 - DRENAGEM DE GLANDULA DE BARTHOLIN / SKENE;4;18447
2022;9;Eletivo;Média complexidade;0010456 - HBDF;0408020210 - REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS;1;20677
2022;5;Eletivo;Média complexidade;0010456 - HBDF;0404020054 - DRENAGEM DE ABSCESSO DA BOCA E ANEXOS;10;19465
2022;1;BPA-C;Atenção Básica;9778136 - CEO - Asa Norte;0414020138 - EXODONTIA DE DENTE PERMANENTE;5;18580
2022;8;Eletivo;Alta complexidade;0010456 - HBDF;0405050372 - FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL;74;20317
2022;9;BPA-C;Atenção Básica;0010456 - HBDF;0414020359 - TRATAMENTO CIRÚRGICO DE HEMORRAGIA BUCO-DENTAL;2;20650
2022;9;Eletivo;Média complexidade;6876617 - HCB;0412050170 - TORACOCENTESE/DRENAGEM DE PLEURA;1;20831
2022;1;BPA-C;Média complexidade;9622918 - CEO-Taguatinga;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);26;18550
2022;9;BPA-C;Média complexidade;0010537 - HMIB;0409060097 - EXERESE DE POLIPO DE UTERO;1;20761
2022;8;BPA-C;Atenção Básica;0010456 - HBDF;0404010300 - RETIRADA DE CORPO ESTRANHO DA CAVIDADE AUDITIVA E NASAL;7;20322
2022;8;BPA-C;Atenção Básica;9622845 - CEO - Policlínica Taguatinga;0414020138 - EXODONTIA DE DENTE PERMANENTE;30;20576
2022;1;BPA-C;Atenção Básica;0010456 - HBDF;0414020138 - EXODONTIA DE DENTE PERMANENTE;18;18332
2022;9;Eletivo;Média complexidade;0010472 - HRG;0408020180 - REDUÇÃO INCRUENTA DE FRATURA / LUXAÇÃO DE MONTEGGIA OU DE GALEAZZI;1;20705
2022;10;Eletivo;Média complexidade;3055450 - CBV;0405050305 - SUTURA DE CORNEA;37;21086
2022;1;Eletivo;Atenção Básica;0010510 - HUB;0414020120 - EXODONTIA DE DENTE DECÍDUO;1;18420
2022;8;BPA-C;Atenção Básica;0011347 - Adolescentro;0414020120 - EXODONTIA DE DENTE DECÍDUO;8;20482
2022;6;Eletivo;Alta complexidade;3224228 - Renal Care;0418010048 - IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE;1;19931
2022;8;Eletivo;Média complexidade;0010510 - HUB;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);60;20456
2022;9;Eletivo;Alta complexidade;7491484 - Renal Vida;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;4;20833
2022;12;BPA-C;Atenção Básica;9578560 - CEO 11 - Ceilândia;0414020138 - EXODONTIA DE DENTE PERMANENTE;11;21739
2022;8;Eletivo;Atenção Básica;0010537 - HMIB;0414020138 - EXODONTIA DE DENTE PERMANENTE;207;20468
2022;4;Eletivo;Alta complexidade;3224228 - Renal Care;0418020035 - RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANÊNCIA;4;19320
2022;4;BPA-C;Média complexidade;9690719 - CEO-Sobradinho;0414020154 - GENGIVECTOMIA (POR SEXTANTE);7;19401
2022;2;BPA-C;Média complexidade;6876617 - HCB;0406020140 - EXCISAO E SUTURA DE LINFANGIOMA / NEVUS;4;18756
2022;10;Eletivo;Média complexidade;0010456 - HBDF;0405010125 - RECONSTITUICAO PARCIAL DE PALPEBRA COM TARSORRAFIA;1;20952
2022;11;Eletivo;Alta complexidade;0010510 - HUB;0418020019 - INTERVENCAO EM FISTULA ARTERIO-VENOSA;5;21312
2022;6;Eletivo;Média complexidade;0010456 - HBDF;0405040202 - TRATAMENTO DE PTOSE PALPEBRAL;4;19791
2022;8;BPA-C;Atenção Básica;9772243 - CEO - Paranoá;0414020120 - EXODONTIA DE DENTE DECÍDUO;5;20630
2022;11;Eletivo;Média complexidade;0010537 - HMIB;0414020073 - CURETAGEM PERIAPICAL;7;21345
2022;3;BPA-C;Média complexidade;0010499 - HRT;0405010060 - EPILACAO DE CILIOS;2;18927
2022;4;Eletivo;Atenção Básica;0010510 - HUB;0414020383 - TRATAMENTO DE ALVEOLITE;2;19248
2022;11;Eletivo;Alta complexidade;3224228 - Renal Care;0418010080 - IMPLANTE DE CATETER TIPO TENCKHOFF OU SIMILAR P/ DPA/DPAC;12;21383
2022;10;BPA-C;Média complexidade;9676473 - CEO - Ceilândia I;0414020278 - REMOÇÃO DE DENTE RETIDO (INCLUSO / IMPACTADO);6;21177
2022;5;BPA-C;Atenção Básica;9690735 - CEO - Planaltina;0414020138 - EXODONTIA DE DENTE PERMANENTE;8;19728
2022;12;BPA-C;Média complexidade;9621709 - Policlínica II Taguatinga;0404010270 - REMOCAO DE CERUMEN DE CONDUTO AUDITIVO EXTERNO UNI / BILATERAL;88;21749
2022;7;Eletivo;Média complexidade;0010510 - HUB;0414020200 - MARSUPIALIZAÇÃO DE CISTOS E PSEUDOCISTOS;1;20145
2022;12;Eletivo;Alta complexidade;0010510 - HUB;0418020035 - RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANÊNCIA;1;21601
2022;5;BPA-C;Atenção Básica;9764860 - CEO - Gama;0414020383 - TRATAMENTO DE ALVEOLITE;1;19739
2022;6;BPA-C;Média complexidade;9578560 - CEO 11 - Ceilândia;0414020146 - EXODONTIA MÚLTIPLA COM ALVEOLOPLASTIA POR SEXTANTE;14;19978
2022;8;Eletivo;Média complexidade;0010510 - HUB;0405050194 - IRIDOTOMIA A LASER;1;20441
2022;5;Eletivo;Média complexidade;5717515 - HRSM;0408060352 - RETIRADA DE FIO OU PINO INTRA-ÓSSEO;7;19644
2022;5;BPA-C;Atenção Básica;9676473 - CEO - Ceilândia I;0414020359 - TRATAMENTO CIRÚRGICO DE HEMORRAGIA BUCO-DENTAL;1;19719
2022;9;BPA-C;Atenção Básica;9778136 - CEO - Asa Norte;0414020120 - EXODONTIA DE DENTE DECÍDUO;1;20911
2022;3;Eletivo;Alta complexidade;7494424 - Ultramed;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;2;19051
2022;10;Urgência;Média complexidade;7116756 - UPA São Sebastião;0404020097 - EXCISÃO E SUTURA DE LESÃO NA BOCA;1;21127
2022;11;Eletivo;Alta complexidade;0010456 - HBDF;0418010064 - IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE;36;21219
2022;9;Eletivo;Alta complexidade;0010510 - HUB;0418010048 - IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE;12;20721
2022;1;Eletivo;Média complexidade;0010472 - HRG;0408020210 - REDUÇÃO INCRUENTA DE FRATURA DOS METACARPIANOS;1;18387
2022;8;Eletivo;Alta complexidade;9967486 - IBRANE;0418010048 - IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE;1;20643
2022;6;Eletivo;Média complexidade;0010456 - HBDF;0405010036 - DACRIOCISTORRINOSTOMIA;2;19784
2022;12;Eletivo;Média complexidade;5717515 - HRSM;0414020219 - ODONTOSECÇÃO / RADILECTOMIA / TUNELIZAÇÃO;5;21700
2022;3;BPA-C;Média complexidade;9622918 - CEO-Taguatinga;0414020375 - TRATAMENTO CIRÚRGICO PERIODONTAL (POR SEXTANTE);6;19100
2022;9;BPA-C;Atenção Básica;0010456 - HBDF;0404010300 - RETIRADA DE CORPO ESTRANHO DA CAVIDADE AUDITIVA E NASAL;2;20648
2022;11;Urgência;Média complexidade;0935514 - UPA Paranoá;0412050170 - TORACOCENTESE/DRENAGEM DE PLEURA;1;21355
2022;4;Eletivo;Média complexidade;3055450 - CBV;0405050291 - SUTURA DE CONJUNTIVA;26;19316
2022;8;Eletivo;Média complexidade;0010456 - HBDF;0404010318 - RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ;47;20344
2022;12;Eletivo;Média complexidade;2649527 - HAB;0404020054 - DRENAGEM DE ABSCESSO DA BOCA E ANEXOS;1;21652
2022;10;Eletivo;Média complexidade;3055450 - CBV;0405030045 - FOTOCOAGULACAO A LASER;6;21076
